X,Day,Month,Tmax,Tmin,Year,JDay,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
2/14/14,14,2,23.1456044,7.809065934,2014,45,9.989624747,9.545635505,9.156628179,8.810473565,8.4986603,8.21498528,7.954787769,9.117948094,12.30673887,15.29377908,17.94507844,20.14170702,21.78513015,22.80162838,23.1456044,21.33699634,19.52838828,17.71978022,16.51636905,15.31295788,14.1095467,13.51673179,12.92391688,12.33110197
2/15/14,15,2,24.26167582,8.956730769,2014,46,11.73828706,11.17056198,10.67329062,10.23090131,9.832474944,9.470058203,9.137678129,10.31373472,13.48692199,16.45780743,19.09372065,21.27694999,22.90999924,23.91994148,24.26167582,22.08562271,19.9095696,17.73351648,16.78731685,15.84111722,14.89491758,14.23254654,13.5701755,12.90780446
2/16/14,16,2,23.3073489,9.240041209,2014,47,12.24543342,11.63057412,11.09217602,10.61330847,10.18210781,9.789937637,9.430314962,10.5336945,13.44201279,16.16352056,18.57722424,20.57581469,22.07043796,22.9946456,23.3073489,21.14892399,18.99049908,16.83207418,15.5400641,14.24805403,12.95604396,12.52432732,12.09261069,11.66089406
2/17/14,17,2,22.20467033,8.088255495,2014,48,11.22917742,10.58503855,10.0211718,9.519769086,9.068361011,8.657875449,8.281505529,9.435055125,12.34483307,15.06625404,17.47889185,19.4759843,20.96915756,21.89233685,22.20467033,20.45787546,18.71108059,16.96428571,16.09363553,15.22298535,14.35233516,14.08044899,13.80856282,13.53667664
2/18/14,18,2,18.90006868,11.29017857,2014,49,13.26479047,12.85880691,12.50352976,12.18768761,11.90339414,11.64491517,11.40795043,12.04127347,13.60538734,15.06750866,16.36322565,17.43545721,18.2369676,18.73244733,18.90006868,17.28926282,15.67845696,14.0676511,13.44745879,12.82726648,12.20707418,11.81922018,11.43136618,11.04351219
2/19/14,19,2,15.26923077,8.326236264,2014,50,10.65565819,10.1755914,9.755608363,9.382328475,9.046396414,8.74101371,8.461084317,9.035654256,10.45835669,11.78757613,12.96503237,13.93909929,14.66706848,15.11702178,15.26923077,14.22790751,13.18658425,12.14526099,11.63621795,11.12717491,10.61813187,10.26851268,9.918893499,9.569274315
2/20/14,20,2,15.65556319,7.64010989,2014,51,9.21965513,8.89327595,8.607839332,8.354208743,8.126001251,7.918581332,7.728476035,8.488773024,10.12588834,11.65456407,13.00811281,14.12748688,14.96385434,15.48072922,15.65556319,14.54956502,13.44356685,12.33756868,11.1996337,10.06169872,8.923763736,8.425643214,7.927522692,7.42940217
2/21/14,21,2,17.87259615,4.463598901,2014,52,6.931281648,6.420080094,5.973150301,5.576121003,5.218960009,4.89438606,4.596946743,5.92669947,8.657578391,11.20630819,13.46219392,15.32725927,16.72050178,17.58141091,17.87259615,16.63289835,15.39320055,14.15350275,13.1356456,12.11778846,11.09993132,10.78508425,10.47023719,10.15539013
2/22/14,22,2,15.97355769,8.151098901,2014,53,9.840543063,9.489645274,9.18296585,8.910597333,8.665629091,8.443048616,8.239104321,9.031919006,10.62009791,12.10155797,13.41226484,14.49556479,15.30463346,15.8044998,15.97355769,14.50160256,13.02964744,11.55769231,10.6456044,9.733516484,8.821428571,8.332014793,7.842601014,7.353187235
2/23/14,23,2,14.67891484,4.234203297,2014,54,6.863773457,6.316186926,5.83776216,5.412971441,5.030992504,4.683980536,4.366067128,5.444971975,7.559240832,9.53044549,11.27377182,12.71421048,13.78978436,14.4542152,14.67891484,14.13679029,13.59466575,13.05254121,11.91929945,10.78605769,9.652815934,9.386671828,9.120527723,8.854383617
2/24/14,24,2,15.015625,7.341002747,2014,55,8.588239512,8.32806143,8.100794568,7.899039938,7.717643437,7.552870541,7.40192854,8.253340025,9.802743076,11.24665761,12.5232101,13.57769867,14.36493719,14.8511915,15.015625,14.11481227,13.21399954,12.31318681,11.4286859,10.54418498,9.659684066,9.318531772,8.977379478,8.636227184
2/25/14,25,2,15.35233516,6.542239011,2014,56,8.295074889,7.928234761,7.607930591,7.323673749,7.068165176,6.836120341,6.623589955,7.622884798,9.395438437,11.04636805,12.50529879,13.71004021,14.6092373,15.1645596,15.35233516,14.09283425,12.83333333,11.57383242,10.93807234,10.30231227,9.666552198,9.180508283,8.694464369,8.208420455
2/26/14,26,2,16.45123626,5.743475275,2014,57,7.72237654,7.307046687,6.944535193,6.622911097,6.333878856,6.071436609,5.831101496,7.095819647,9.243045581,11.241846,13.00744642,14.46496296,15.55257843,16.22416412,16.45123626,15.2794185,14.10760073,12.93578297,11.89823718,10.86069139,9.823145604,9.407872717,8.992599829,8.577326941
2/27/14,27,2,14.34958791,6.127403846,2014,58,8.162054054,7.733890022,7.360302986,7.02893928,6.731216446,6.46092904,6.213444556,7.194415707,8.837960155,10.36709857,11.71728944,12.83154424,13.66283275,14.17606815,14.34958791,13.07154304,11.79349817,10.5154533,9.703525641,8.891597985,8.07967033,7.621527097,7.163383865,6.705240633
2/28/14,28,2,16.90487637,4.035027473,2014,59,6.2470974,5.780373452,5.373278517,5.012287796,4.688012803,4.393669639,4.124196591,5.748108603,8.312777974,10.69773327,12.80277895,14.53947887,15.83487163,16.63453583,16.90487637,15.73855311,14.57222985,13.40590659,12.78994963,12.17399267,11.55803571,10.89149005,10.22494438,9.558398716
3/1/14,1,3,14.94230769,7.184065934,2014,60,8.89185305,8.530561994,8.21553793,7.93626493,7.685449193,7.457823821,7.249461067,8.24302552,9.784217997,11.21669163,12.48055094,13.52295065,14.3003053,14.78011163,14.94230769,14.0224359,13.1025641,12.18269231,11.71256868,11.24244505,10.77232143,10.62882351,10.48532558,10.34182766
3/2/14,2,3,16.22184066,9.20364011,2014,61,10.19832974,9.987333211,9.803420341,9.640422511,9.494064736,9.361262045,9.239715057,10.18534061,11.57512723,12.86622645,14.00491016,14.94379288,15.64380371,16.07581221,16.22184066,15.17010073,14.11836081,13.06662088,12.48695055,11.90728022,11.32760989,11.01223044,10.696851,10.38147155
3/3/14,3,3,18.71428571,8.466002747,2014,62,10.0660921,9.725753912,9.429205518,9.166452256,8.930573424,8.716578117,8.52074837,9.933664289,11.95675882,13.83526882,15.49138762,16.85651981,17.8741225,18.50204721,18.71428571,16.85760073,15.00091575,13.14423077,12.42113095,11.69803114,10.97493132,10.62028613,10.26564094,9.910995747
3/4/14,4,3,14.3540522,7.15728022,2014,63,9.556350556,9.044628508,8.598909883,8.204096946,7.849744569,7.52832538,7.234234999,8.213122645,9.62913993,10.9432798,12.10138,13.05570944,13.76693547,14.20574489,14.3540522,13.35004579,12.34603938,11.34203297,10.82692308,10.31181319,9.796703297,9.346042517,8.895381738,8.444720958
3/5/14,5,3,14.91105769,6.337225275,2014,64,7.994060179,7.639673044,7.331106957,7.057858117,6.812665914,6.590301485,6.386873914,7.624348482,9.305859188,10.86560824,12.23962075,13.37154004,14.21493913,14.73522506,14.91105769,13.9599359,13.0088141,12.05769231,11.48031136,10.9029304,10.32554945,9.784294825,9.243040199,8.701785573
3/6/14,6,3,15.77815934,6.500686813,2014,65,8.160530948,7.80449405,7.494605394,7.220262955,6.974144685,6.750981132,6.546853373,7.925206401,9.738779463,11.42018365,12.90078915,14.12016213,15.02853148,15.58882031,15.77815934,14.48912546,13.20009158,11.91105769,11.20444139,10.49782509,9.791208791,9.15497532,8.518741848,7.882508377
3/7/14,7,3,15.48282967,4.986607143,2014,66,7.246274905,6.76023004,6.337337226,5.963056834,5.627356079,5.323019591,5.044684207,6.633420432,8.678649461,10.57389887,12.24217897,13.6157201,14.63872564,15.26963858,15.48282967,14.20673077,12.93063187,11.65453297,10.73260073,9.810668498,8.888736264,8.405746006,7.922755749,7.439765491
3/8/14,8,3,17.90934066,4.829326923,2014,67,6.956775233,6.497879145,6.098754406,5.745609699,5.42893698,5.141902994,4.879431444,6.925574045,9.465992612,11.81896364,13.88936291,15.59348979,16.86245106,17.64494607,17.90934066,16.60084707,15.29235348,13.98385989,12.74565018,11.50744048,10.26923077,9.524531558,8.779832346,8.035133135
3/9/14,9,3,16.70192308,4.643887363,2014,68,7.290433923,6.717972753,6.220256409,5.780001444,5.385302664,5.027609901,4.700574918,6.616378091,8.950771401,11.11187646,13.01274071,14.57688245,15.74136809,16.45934428,16.70192308,15.31456044,13.9271978,12.53983516,11.54498626,10.55013736,9.555288462,8.815197385,8.075106308,7.335015231
3/10/14,10,3,15.86160714,4.036057692,2014,69,6.594924154,6.039851877,5.557433983,5.130833431,4.748462871,4.402006242,4.085292619,6.009880371,8.291837921,10.40338142,12.25995832,13.78722573,14.92402726,15.62484198,15.86160714,14.7345467,13.60748626,12.48042582,11.38450092,10.28857601,9.192651099,8.644527846,8.096404592,7.548281339
3/11/14,11,3,16.00892857,4.893543956,2014,70,7.000158086,6.541877165,6.14373149,5.791754339,5.476342395,5.190608385,4.929444528,6.786092588,8.923963601,10.90122346,12.63907883,14.06827657,15.13186349,15.78745589,16.00892857,14.78033425,13.55173993,12.3231456,11.19757326,10.07200092,8.946428571,8.43547002,7.924511468,7.413552916
3/12/14,12,3,16.96978022,4.627747253,2014,71,6.902594364,6.406318201,5.975323151,5.594414309,5.253153159,4.944058656,4.661585783,6.769357047,9.135532791,11.32291946,13.24476024,14.8248305,16.00046099,16.72502351,16.96978022,15.77174908,14.57371795,13.37568681,12.72962454,12.08356227,11.4375,10.9829283,10.5283566,10.07378489
3/13/14,13,3,13.51407967,8.152815934,2014,72,9.619213192,9.298386244,9.019867243,8.773786693,8.553370648,8.353767831,8.171384493,9.10093808,10.12539558,11.0719928,11.90336631,12.5867007,13.09502387,13.40827162,13.51407967,12.55437271,11.59466575,10.63495879,10.38587454,10.13679029,9.887706044,9.751419878,9.615133712,9.478847546
3/14/14,14,3,13.74038462,8.331730769,2014,73,9.34256138,9.120759069,8.92828065,8.758270096,8.60602611,8.468184215,8.342253515,9.30579551,10.33596422,11.28739636,12.12271481,12.80910395,13.31959889,13.63414477,13.74038462,13.19402473,12.64766484,12.10130495,11.73489011,11.36847527,11.00206044,10.63922804,10.27639565,9.913563256
3/15/14,15,3,14.72699176,8.539148352,2014,74,9.550730861,9.328119474,9.135013258,8.964498387,8.811838287,8.673645669,8.547414204,9.674087462,10.8487442,11.93310713,12.88478301,13.66656599,14.2478922,14.60603466,14.72699176,13.86836081,13.00972985,12.1510989,11.37019231,10.58928571,9.808379121,9.266099675,8.723820229,8.181540782
3/16/14,16,3,17.99587912,5.599587912,2014,75,7.639261336,7.189106277,6.798765533,6.45419184,6.145770419,5.866630365,5.611690672,7.913669523,10.25916162,12.42335555,14.32204522,15.88135497,17.04061401,17.75471701,17.99587912,16.8540522,15.71222527,14.57039835,13.5503663,12.53033425,11.5103022,10.88392872,10.25755525,9.631181774
3/17/14,17,3,20.32177198,6.926854396,2014,76,9.004808299,8.544851922,8.146168975,7.794336877,7.479493218,7.194595294,6.934438132,9.471001993,11.99707565,14.32681567,16.37000776,18.04753361,19.29443455,20.06242697,20.32177198,19.08653846,17.85130495,16.61607143,15.38244048,14.14880952,12.91517857,12.09655121,11.27792386,10.4592965
3/18/14,18,3,22.35851648,7.025068681,2014,77,9.640669145,9.06000921,8.556899179,8.113044228,7.715945705,7.356684884,7.028674165,9.986676089,12.86886065,15.52582578,17.85517219,19.767127,21.18800355,22.06304135,22.35851648,21.01682692,19.67513736,18.3334478,16.91884158,15.50423535,14.08962912,13.38008225,12.67053537,11.9609885
3/19/14,19,3,21.76510989,8.693337912,2014,78,11.25144162,10.68187111,10.18856437,9.753489242,9.364338116,9.012335039,8.712808641,11.26022147,13.70917681,15.96574049,17.94335789,19.5661739,20.77194244,21.51441405,21.76510989,20.36961996,18.97413004,17.57864011,16.34832875,15.1180174,13.88770604,13.28899011,12.69027417,12.09155824
3/20/14,20,3,21.1717033,9.003262363,2014,79,11.49284231,10.93688336,10.45555757,10.03117813,9.651684581,9.308483597,9.066909421,11.4318037,13.70398902,15.79672527,17.63012275,19.13419197,20.25151547,20.93943969,21.1717033,19.722413,18.27312271,16.82383242,15.77781593,14.73179945,13.68578297,13.17014535,12.65450774,12.13887012
