,Total
1/20/14 07:59,142905.92
1/20/14 08:59,147505.03
1/20/14 09:59,151669.4
1/20/14 10:59,152614.85
1/20/14 11:59,158572.98
1/20/14 12:59,151064.75
1/20/14 13:59,144531.47
1/20/14 14:59,138030.89
1/20/14 15:59,142410.49
1/20/14 16:59,157666.84
1/20/14 17:59,164238.33
1/20/14 18:59,175013.25
1/20/14 19:59,170739.85
1/20/14 20:59,170136.05
1/20/14 21:59,157321.89
1/20/14 22:59,142391.6
1/20/14 23:59,131157.22
1/21/14 00:59,123637.62
1/21/14 01:59,119043.43
1/21/14 02:59,118320.64
1/21/14 03:59,118720.82
1/21/14 04:59,121782.25
1/21/14 05:59,130347.2
1/21/14 06:59,144563.14
1/21/14 07:59,155330.36
1/21/14 08:59,159022.03
1/21/14 09:59,163316.38
1/21/14 10:59,163285.53
1/21/14 11:59,159742.15
1/21/14 12:59,151234.25
1/21/14 13:59,142816.43
1/21/14 14:59,139506.2
1/21/14 15:59,141058.55
1/21/14 16:59,148979.62
1/21/14 17:59,163059.7
1/21/14 18:59,175876.18
1/21/14 19:59,173405.26
1/21/14 20:59,163789.86
1/21/14 21:59,149899.72
1/21/14 22:59,135676.97
1/21/14 23:59,124405.15
1/22/14 00:59,116717.35
1/22/14 01:59,113616.03
1/22/14 02:59,112540.94
1/22/14 03:59,113956.56
1/22/14 04:59,117679.71
1/22/14 05:59,125916.77
1/22/14 06:59,139801.4
1/22/14 07:59,149753.46
1/22/14 08:59,153189.38
1/22/14 09:59,156716.36
1/22/14 10:59,158044.55
1/22/14 11:59,155960.68
1/22/14 12:59,147702.11
1/22/14 13:59,140510.9
1/22/14 14:59,139132.79
1/22/14 15:59,143284.48
1/22/14 16:59,152750.73
1/22/14 17:59,166540.09
1/22/14 18:59,174396.33
1/22/14 19:59,174466.9
1/22/14 20:59,163891.03
1/22/14 21:59,153425.02
1/22/14 22:59,139359.52
1/22/14 23:59,127894.65
1/23/14 00:59,121052.98
1/23/14 01:59,116329.33
1/23/14 02:59,113705.31
1/23/14 03:59,114022.38
1/23/14 04:59,116597.7
1/23/14 05:59,125671.65
1/23/14 06:59,141410.95
1/23/14 07:59,153540.78
1/23/14 08:59,157508.95
1/23/14 09:59,166869.61
1/23/14 10:59,171098.23
1/23/14 11:59,170638.71
1/23/14 12:59,164664.38
1/23/14 13:59,158748.29
1/23/14 14:59,156790.35
1/23/14 15:59,159082.73
1/23/14 16:59,166874.73
1/23/14 17:59,178330.3
1/23/14 18:59,187603.57
1/23/14 19:59,184839.22
1/23/14 20:59,176147.65
1/23/14 21:59,161547.08
1/23/14 22:59,146822.53
1/23/14 23:59,139690.02
1/24/14 00:59,131565.73
1/24/14 01:59,127309.02
1/24/14 02:59,125555.82
1/24/14 03:59,126598.96
1/24/14 04:59,128465.36
1/24/14 05:59,134819.62
1/24/14 06:59,144623.29
1/24/14 07:59,153304.62
1/24/14 08:59,159966.58
1/24/14 09:59,171271.28
1/24/14 10:59,175278.58
1/24/14 11:59,174009.75
1/24/14 12:59,164380.11
1/24/14 13:59,153603.8
1/24/14 14:59,147080.02
1/24/14 15:59,147823.05
1/24/14 16:59,152518.09
1/24/14 17:59,163168.1
1/24/14 18:59,178350.73
1/24/14 19:59,178218.22
1/24/14 20:59,168796.52
1/24/14 21:59,157057.81
1/24/14 22:59,144870.78
1/24/14 23:59,133417.78
1/25/14 00:59,124792.77
1/25/14 01:59,120726.31
1/25/14 02:59,120146.03
1/25/14 03:59,120889.97
1/25/14 04:59,122406.02
