X,Tmax,Tmin,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
2/12/14,17.14285714,7,8.366470834,8.089487393,7.846669321,7.630506121,7.43572038,7.258461779,7.09583483,7.800873886,9.921257381,11.90947349,13.67556871,15.13963904,16.23544506,16.91340887,17.14285714,16.19047619,15.23809524,14.28571429,12.80952381,11.33333333,9.857142857,9.863495188,9.869847518,9.876199849
2/13/14,19.14285714,8.142857143,9.882552179,9.529087989,9.219312911,8.943605185,8.695208626,8.469196785,8.261866596,9.048274099,11.3413255,13.49031668,15.39845628,16.97980096,18.16312636,18.89513507,19.14285714,18.19047619,17.23809524,16.28571429,15.57142857,14.85714286,14.14285714,13.48461376,12.82637037,12.16812699
2/14/14,24,9.714285714,11.5098836,11.1441951,10.82380095,10.53870731,10.28190174,10.0482738,9.833983915,10.93820078,13.90766833,16.68911681,19.15783416,21.20313027,22.73330003,23.67973507,24,22.57142857,21.14285714,19.71428571,18.52380952,17.33333333,16.14285714,15.54247212,14.9420871,14.34170207
2/15/14,24.42857143,11.28571429,13.74131705,13.24001319,12.80093191,12.41031849,12.05852853,11.73853754,11.44507034,12.45606223,15.18008592,17.73028998,19.99284972,21.86677907,23.26843791,24.13526522,24.42857143,22.71428571,21,19.28571429,18.28571429,17.28571429,16.28571429,15.69724686,15.10877943,14.520312
2/16/14,21.85714286,11.28571429,13.93184458,13.39033593,12.91618316,12.49446857,12.11473991,11.76938875,11.45270403,12.26284951,14.44753343,16.4917382,18.30464011,19.8056922,20.92820294,21.62229936,21.85714286,20.38095238,18.9047619,17.42857143,16.33333333,15.23809524,14.14285714,13.64723225,13.15160736,12.65598247
2/17/14,22,9.571428571,12.16035758,11.62925817,11.16436178,10.75097798,10.37882137,10.0404093,9.730127848,10.76237399,13.32331614,15.71832707,17.84148487,19.59889062,20.91282119,21.7251666,22,20.61904762,19.23809524,17.85714286,16.95238095,16.04761905,15.14285714,14.71371035,14.28456357,13.85541678
2/18/14,17.57142857,11.42857143,13.42626999,13.01544472,12.65594097,12.33634853,12.04868456,11.78714497,11.54737731,12.03807412,13.30008407,14.47970578,15.52500962,16.38997893,17.03653579,17.4362173,17.57142857,16.14285714,14.71428571,13.28571429,12.76190476,12.23809524,11.71428571,11.53429411,11.35430252,11.17431092
2/19/14,14.14285714,9.142857143,10.99431932,10.6126183,10.27870479,9.981933598,9.714862708,9.472084515,9.249545825,9.655982034,10.68013956,11.63693559,12.4844447,13.18553027,13.70947174,14.03331075,14.14285714,13.71428571,13.28571429,12.85714286,12.28571429,11.71428571,11.14285714,10.63322661,10.12359607,9.613965535
2/20/14,16.71428571,7.714285714,9.104334999,8.81703907,8.565790815,8.342544454,8.141679497,7.959114377,7.791791319,8.668581115,10.50653507,12.22270512,13.74224054,14.99886683,15.93777626,16.5180183,16.71428571,15.71428571,14.71428571,13.71428571,12.42857143,11.14285714,9.857142857,9.434198142,9.011253428,8.588308713
2/21/14,16.85714286,5.857142857,8.165363998,7.687089984,7.268959538,6.897522144,6.563388994,6.259746149,5.98149136,7.061024046,9.300629464,11.39074756,13.24064293,14.77000863,15.91245242,16.61837897,16.85714286,16.19047619,15.52380952,14.85714286,14.04761905,13.23809524,12.42857143,11.7536344,11.07869737,10.40376035
