,OUARGLA,Figuier,Foues,Boumerdes,BIR SLAM,BEJAIA,MEDEA 1,MEDEA 2,BOUIRA 1,BOUIRA 2,BLIDA 1,BLIDA 2,BLIDA 3,BLIDA 4,"B,Ezzouar",Beaulieu,Baraki,Benzerga,Ain Taya,Nador,Tipaza,Cherchell,Hadjout,Sidi Ammar Tipaza,Taref,Naama,Total
0.92,2383,34.6,501,1008,2929,1908,3028,2967,421,1697,1859,2123,3764,896,9972,1446,2121,809,2446,76,642,1269,704.9,36,141,281,45459.71
0.96,3059,29.6,81,856,2158,1918,3028,1919,336,1964,1355,1520,3137,866,9102,310,1604,1323,1952,50,641,1294,503.1,15,81,284,39386.45
0,2820,29.6,0,654,1551,1869,3028,1263,302,2136,1050,1057,2822,866,8022,0,1396,2153,1900,40,685,913,412.9,5,55,399,35428.62
0.04,1572,24.6,0,567,1383,1925,3028,916,302,2142,897,819,2717,866,6869,0,1241,2007,1843,40,821,694,369.6,0,65,552,31660.65
0.08,1034,24.7,0,526,995,1876,3028,864,319,1817,849,714,2662,866,6494,0,1289,518,1834,46,820,598,396.3,5,60,387,28020.90
0.13,1034,39.8,0,515,1375,1865,3028,765,323,1653,997,744,2548,866,6588,0,1593,0,2100,56,820,609,374.1,0,60,141,28092.97
0.17,1500,34.8,0,536,1650,1916,3028,763,317,1323,1046,800,2596,866,6736,0,1951,0,2147,56,579,679,390.1,10,85,89,29097.83
0.21,1770,34.7,0,567,2036,1911,3028,867,351,988,1200,876,2643,876,7295,0,2003,0,2666,61,481,846,421.6,10,85,74,31090.31
0.25,1718,34.6,0,633,2310,1908,3028,1017,754,821,1359,916,2643,996,7802,0,2205,0,3026,76,435,998,484.5,10,90,81,33345.50
0.29,2082,29.4,0,770,3407,1895,3028,1569,1260,763,1653,1589,3093,1046,9130,1385,2659,0,3222,91,486,1107,712.8,56,160,105,41296.89
0.33,2671,29.3,0,797,4769,1877,3028,2323,1370,709,2159,2042,3610,1096,9851,2256,2706,0,3318,122,590,889,885.5,76,327,68,47569.26
0.38,2008,24.2,113,791,5963,1862,3028,2620,1715,759,2350,2437,3952,1106,10310,2867,2953,0,3517,125,738,579,1051.1,85,276,90,51320.55
0.42,1064,19,599,787,7179,1854,3028,3118,2483,874,2595,2862,4397,1136,10764,3577,3048,0,3850,133,835,454,1191.1,105,300,99,56350.15
0.46,768,9.3,873,780,7782,1955,3028,3566,3027,1042,2877,3490,4936,1146,11137,4269,3170,51,3718,146,837,366,1494.7,109,363,221,61160.73
0.5,687,0,1013,769,7508,1851,3028,3926,2436,1709,3119,3648,5230,1066,11629,4731,2971,512,3408,151,640,344,1403.7,88,414,300,62582.46
0.54,651,4.7,892,759,5535,1922,3028,2959,1831,1766,2579,2777,4803,986,10846,3316,2734,1274,3208,112,494,329,912.6,73,313,357,54462.55
0.58,669,9.5,514,715,4091,1924,3028,2355,1495,1762,1971,4087,4106,936,10113,2048,2394,1933,3206,62,398,376,709.6,34,164,492,49592.78
0.63,690,14.4,83,715,3556,1885,3028,1799,1220,1974,796,7554,2649,926,9771,1585,2393,2843,3353,43,301,377,645.8,34,112,635,48983.74
0.67,710,24.2,0,744,3723,1887,3028,1700,1420,1856,795,7572,2698,956,9869,1635,2594,3404,3563,57,252,445,635.4,49,128,549,50292.77
0.71,862,29.3,0,760,4143,1927,3028,1900,1813,1239,1092,7602,2788,996,10206,2141,2639,2503,3823,62,303,449,830.4,70,168,278,51653.08
0.75,1431,39.3,0,747,4922,1873,3028,2005,2280,740,1296,7611,3201,1016,10719,2965,2848,1384,4038,87,252,670,1073.7,81,232,203,54741.51
0.79,1887,39.4,4,791,5805,1920,3028,2616,2283,523,1749,7624,3915,1076,11485,4146,3159,565,3860,118,303,855,1246.3,106,372,173,59646.78
0.83,1765,44.6,5,849,6308,1867,3028,3633,1925,571,2139,7622,4379,1096,11916,4619,3269,461,3490,125,303,984,1171.9,91,401,249,62311.36
0.88,2063,44.7,258,867,5284,1883,3028,3928,1222,1005,1837,7626,4166,986,11030,3299,2823,1126,3176,122,353,1117,895,46,267,336,58785.34
0.92,2545,44.9,237,869,3586,1956,3028,2719,779,1219,796,7633,2881,896,9870,1342,2370,1894,2698,61,548,1284,572.5,15,136,311,50291.05
0.96,3075,44.9,0,718,2600,1913,3028,1671,503,1601,253,7637,1934,866,9100,310,2013,2862,2265,41,541,1227,429,5,65,330,45032.41
0,2608,39.9,0,596,2216,1918,3028,962,439,1884,104,7658,923,866,8327,0,1811,3422,1986,25,630,819,349.1,0,65,440,41116.29
0.04,1376,45,0,533,1941,1921,3028,611,435,1886,0,7691,55,856,7493,0,1761,2313,1985,25,772,674,323.2,0,60,596,36377.90
0.08,844,45.2,0,509,1720,1923,3028,510,436,1683,55,7712,0,866,7179,0,1710,825,2091,35,820,580,345.1,0,55,276,33248.82
0.13,709,45.3,0,506,1773,1920,3028,512,462,1303,0,7721,0,866,7019,0,1763,103,2299,35,773,551,339.3,0,65,119,31911.30
0.17,1282,50.5,0,553,1935,1916,3028,512,483,1032,0,7735,0,856,7218,0,1863,0,2557,45,581,598,359.4,5,91,59,32758.09
0.21,1598,50.5,0,554,2374,1911,3028,717,625,928,55,7743,54,866,7728,0,2119,0,3190,50,484,731,397.3,15,86,60,35364.97
0.25,1538,45.1,0,631,2594,1907,3028,869,1142,820,215,7707,595,966,8185,261,2321,0,3353,66,387,844,453,31,96,83,38135.34
0.29,1860,39.4,0,831,3687,1839,3028,1522,1516,763,563,7677,1914,1006,9196,1496,2567,0,3337,76,482,941,685.4,52,157,83,45317.60
0.33,2728,29,0,951,4939,1933,3028,2163,1486,763,997,7625,2570,1066,9848,2615,2761,0,3376,110,530,932,864.3,66,331,84,51796.19
0.38,2146,19,46,747,5863,1922,3028,2356,1614,764,1193,7568,2861,906,10115,3006,3345,0,3453,104,584,589,1022.9,79,274,99,53704.36
0.42,1058,1675.2,296,729,7168,1849,3028,2706,1950,820,1623,7507,3418,936,10536,3767,2894,0,364,124,635,382,1199.5,92,293,161,55211.15
0.46,755,482.2,606,1948,7908,1886,3028,3151,2022,987,2123,7468,3973,996,11251,4424,3025,205,0,143,784,329,1321.5,100,347,221,59483.42
0.5,648,80.7,752,1210,7576,1884,3028,3200,1272,1320,2268,7436,4278,886,11614,4733,3172,820,0,143,689,249,1269.1,90,389,306,59312.14
0.54,641,95.2,760,0,5512,1853,3028,1987,1031,1483,1558,7418,3695,856,10671,3314,2824,1124,2048,92,496,248,837.8,57,283,407,52318.28
0.58,656,66.9,588,6,4159,1874,3028,1030,821,1637,960,7408,3075,856,9951,2031,2469,1835,2405,71,301,276,615.9,33,158,528,46837.47
0.63,657,191,292,630,3550,1869,3028,532,769,1838,769,7404,2660,846,9551,1262,2316,2637,2226,58,303,300,538.4,14,104,666,45011.37
0.67,712,117.9,152,679,3927,1868,3028,431,1044,1937,481,7419,2449,856,9646,1309,2413,2526,2027,61,203,349,554.2,38,110,425,44761.46
0.71,925,151.6,93,813,4468,1919,3028,529,1213,1924,769,7418,2536,856,9942,1923,2513,0,1914,84,255,359,736.6,52,176,218,44814.54
0.75,1563,199.7,213,974,5244,1863,3028,680,1675,1541,1114,7441,2692,856,10404,2746,2718,1059,2063,89,205,569,847.3,86,267,165,50301.59
0.79,1865,246.8,352,1138,6310,1915,3028,1135,1856,1257,1233,7466,2961,886,10789,3571,3033,2785,2159,103,256,790,995.3,111,364,194,56797.96
0.83,1755,223.5,502,1317,6486,1868,3028,1852,1364,1147,1626,7515,3596,886,11239,4047,3159,1835,2739,136,252,903,1104,104,366,264,59313.09
0.88,2026,106.5,796,1245,5730,1936,3028,1908,668,1254,1585,7565,3783,846,10832,3245,2973,1276,3114,112,350,1022,899.8,50,293,260,56901.01
0.92,2614,76.4,505,821,3817,1903,3028,703,438,1256,748,7602,2615,846,9433,1035,2372,1530,2927,76,493,1231,507.3,10,126,282,46996.03
0.96,2966,51,123,585,2659,1914,3028,0,359,1565,102,7627,1399,886,8463,52,2016,2034,2520,40,535,1215,320.9,5,80,332,40877.34
0,2367,45.5,0,464,2046,1918,3028,0,336,1636,52,7645,163,876,7270,0,1759,2849,2103,35,577,860,266.5,0,19,477,36791.01
0.04,1214,40.5,0,396,1932,1918,3028,0,326,1768,554,90,1325,866,6429,0,1549,3759,1842,30,719,667,262.1,0,66,476,29256.69
0.08,703,40.3,0,386,1930,1917,3028,0,327,1352,1146,0,2267,866,6111,0,1652,3964,1583,40,767,598,267.1,0,66,192,29203.03
0.13,615,49.9,0,365,2094,1911,3028,0,353,1028,1099,0,2216,856,5954,0,1602,2812,1533,50,677,560,229.6,0,71,89,27191.47
0.17,1244,59.7,0,390,2367,1853,3028,0,383,761,1094,0,2219,866,6155,0,1704,1388,1480,50,577,611,296.9,5,86,74,26692.10
0.21,1652,69,0,405,2368,1853,3028,0,484,541,1140,0,2217,866,6764,0,1806,670,1582,56,485,706,306.5,0,97,96,27192.76
0.25,1561,91.8,0,469,2692,1901,3028,0,906,377,1287,5,2262,906,7429,52,1957,207,1794,66,447,845,388,15,92,90,28867.83
0.29,1790,99.5,0,639,3992,1775,3028,99,1196,269,1741,674,2980,996,8643,977,2410,0,1844,81,496,1044,558.4,41,183,83,35638.29
0.33,2654,116.1,36,827,4784,1814,3028,598,1242,323,2257,1198,3536,1066,9169,1887,2445,0,2148,106,586,933,690.1,75,336,90,41944.56
0.38,2110,142.7,286,953,5798,1789,3028,1086,1691,324,2444,1766,3828,1126,3953,2487,2475,0,2184,104,584,525,820.2,88,285,128,40004.65
0.42,1150,181.6,395,1084,6928,1825,3028,1684,1944,431,2531,2321,4126,1186,546,3045,2664,0,2008,128,735,361,920.4,112,294,219,39847.33
0.46,802,173.6,597,1243,7358,1765,3028,2199,1935,540,2841,2913,4575,1206,0,3703,2859,0,1939,167,833,289,1069.4,112,337,296,42778.60
0.5,714,109.3,752,1130,6934,1820,3028,2489,1462,1029,2931,3179,4840,1076,0,3860,2812,365,2130,176,689,251,1147.7,78,368,703,44070.08
0.54,686,62.1,782,776,4922,1840,3028,1240,1353,1186,2417,2481,4378,906,252,2591,2517,1394,2332,137,446,236,790.4,48,252,507,37559.22
0.58,695,58.2,509,623,3563,1849,3028,485,1155,1436,1911,2035,3915,896,250,1474,2213,2001,2142,92,349,250,687.6,62,123,318,32119.05
0.63,713,72.7,266,572,3582,1866,3028,190,1344,1213,1765,1834,3609,886,1507,910,2073,2394,1785,77,251,307,645.5,54,78,239,31262.56
0.67,761,107.3,91,586,3546,1878,3028,94,1461,1463,1683,1839,3581,886,751,917,2290,2837,1680,82,253,337,737.5,45,95,290,31317.83
0.71,933,161.1,65,611,4152,1875,3028,243,1775,1559,1832,2137,3673,886,1797,1534,2595,3480,1575,102,254,365,817.9,54,123,373,36001.89
0.75,1497,225.1,287,685,5021,1864,3028,392,1957,868,2026,2325,3920,896,9621,2456,2797,3883,1728,123,204,589,912.6,78,194,357,47933.69
0.79,1827,230.7,546,769,6167,1910,3028,1040,2024,503,2231,2767,4222,996,10371,3171,3051,2734,1936,135,254,846,1086,79,250,389,52563.29
0.83,1712,189.7,797,824,6085,1867,3028,1747,1592,453,2905,3323,4887,1016,10766,3842,3258,1873,2305,157,304,902,1189.7,95,341,502,55958.36
0.88,1933,96.6,801,860,5111,1877,3028,1501,1183,402,2532,2804,4785,946,10289,2521,2767,1259,2741,142,352,1031,1021.2,55,276,722,51036.74
0.92,2531,66.3,460,684,3359,1896,3028,250,932,399,1748,1880,3612,876,9597,515,2263,1457,2820,96,497,1211,585.8,15,108,430,41317.45
0.96,2957,51.2,80,519,2526,1903,3028,0,693,759,1146,1326,3039,866,9352,0,1960,2066,2313,76,541,1230,400.7,5,43,221,37100.61
0,2398,35.7,0,419,2035,1854,3028,0,538,1033,794,1020,2778,876,9444,0,1652,2628,1949,65,583,865,320.9,0,20,146,34480.41
0.04,1249,45.8,0,383,1814,1910,3028,0,537,1308,696,674,2623,866,9846,0,1597,3343,1585,55,722,617,304.4,0,24,116,33342.65
0.08,774,40.7,0,378,1759,1911,3028,0,548,685,647,514,2516,856,10402,0,1546,3760,1268,66,768,553,317.4,0,34,116,32487.19
0.13,734,50.8,0,363,1868,1964,3028,0,631,0,697,467,2566,866,10850,0,1546,2914,1110,76,722,536,284.5,0,39,120,31432.04
0.17,1260,60.6,0,374,2087,1906,3028,0,695,0,749,358,2464,866,11319,0,1749,1133,1109,76,576,583,312.3,10,69,125,30910.99
0.21,1616,65.4,0,394,2308,1904,3028,0,939,0,849,373,2459,866,10483,0,1801,413,1158,87,432,694,350.1,15,59,140,30434.64
0.25,1517,103.8,0,461,2521,1899,3028,0,1646,0,1055,542,2556,906,9221,0,2104,0,1365,92,431,771,420.4,26,79,166,30909.72
0.29,1804,136.2,0,652,4098,1880,3028,0,1916,0,1553,1269,2999,976,8249,1128,2356,0,1520,112,432,963,683.3,62,148,339,36303.40
0.33,2545,125.2,5,762,5174,1917,3028,355,1888,0,2000,1731,3559,1006,7267,2149,2549,0,1714,142,528,949,758.2,81,272,352,40858.03
0.38,2140,141.6,156,598,6193,1845,3028,848,1707,0,2294,2173,3845,1056,6690,2496,2637,0,1644,145,534,567,883.8,94,223,412,42352.28
0.42,1135,182,408,512,7119,1834,3028,1442,1717,0,2588,2586,4294,1086,6270,3052,2774,0,1415,158,586,385,968.9,117,252,526,44434.06
0.46,764,195.4,562,472,7557,1882,3028,2193,1670,0,2826,3056,4738,1126,6166,3758,2716,0,1457,168,736,280,1109.6,129,290,658,47536.87
0.5,666,123.3,1156,481,6955,1833,3028,2444,1093,0,3073,3308,4942,1056,6365,4164,3059,206,1812,183,591,231,1166.4,100,333,635,49003.83
0.54,649,85.3,1570,486,4942,1905,3028,1382,764,0,2573,2475,4524,966,7079,2847,2661,1179,1960,138,447,240,818.5,62,238,354,43372.51
0.58,661,52.1,1104,491,3578,1806,3028,385,630,200,2009,2045,4133,906,7641,1720,2359,1782,1767,88,301,241,677.4,43,104,254,38006.31
0.63,676,75.2,729,490,3307,1863,3028,47,752,967,1704,1849,3820,896,8916,1158,2057,2114,1585,78,202,292,593.7,33,54,256,37542.89
0.67,696,103.5,5,513,3525,1861,3028,0,927,1548,1651,1761,3713,906,9620,1107,2307,2817,1587,83,255,333,651.8,33,62,313,39406.64
0.71,798,142.4,0,571,3970,1865,3028,47,1325,1599,1657,1879,3705,956,9798,1515,2461,3370,1653,103,207,317,734.9,53,103,373,42230.36
0.75,1141,187.2,0,599,4746,1919,3028,436,1739,1173,1913,2043,3862,986,10057,2135,2620,3823,1966,104,263,525,792.8,58,154,347,46617.86
0.79,1577,234,0,647,5806,1811,3028,2452,1789,962,2189,2365,4072,1056,10621,2962,2935,2723,2279,140,212,767,880.5,83,244,403,52236.14
0.83,1881,199.7,0,726,5822,1926,3028,1907,1326,858,2389,2826,4605,1056,11178,3792,3056,1824,2536,148,211,902,995.2,89,349,547,54177.11
0.88,2300,101.8,0,756,4741,1892,3028,1867,739,1016,2485,2749,4741,956,10363,3142,2770,1213,2804,139,256,1067,873.1,45,289,611,50945.01
0.92,3022,66.2,0,538,2992,1911,3028,559,506,1076,1635,1787,3791,886,9756,1139,2116,1271,2614,92,448,1202,479.2,10,115,306,41344.99
0.96,3726,45.8,0,347,2218,1917,3028,0,369,1138,1037,1200,3108,866,9373,104,1863,1731,2101,61,538,1201,320.5,0,35,172,36499.90
0,3324,40.8,0,227,1831,1867,3028,0,314,1256,695,680,2631,866,9446,0,1659,2548,1788,51,579,858,246.4,5,25,152,34116.92
0.04,2245,25.6,0,171,1610,1925,3028,0,310,1484,649,405,2580,866,9796,0,1503,3156,1423,46,671,657,246.5,0,10,117,32923.92
0.08,1263,30.6,0,146,1664,1922,3028,0,310,1064,650,322,2527,856,10158,0,1451,3408,1106,46,768,562,253.2,0,20,118,31673.54
0.13,999,40.5,0,147,1714,1865,3028,0,325,583,700,286,2471,866,10534,0,1503,2199,1000,72,721,532,241.7,5,40,117,29989.21
0.17,1295,50.3,0,192,1933,1916,3028,0,356,318,798,306,2466,866,11156,0,1655,874,1001,67,530,551,280.2,0,60,133,29832.98
0.21,1674,60.2,0,192,2096,1859,3028,0,472,212,850,312,2521,866,10790,0,1705,155,1048,78,436,708,306.3,10,65,143,29585.71
0.25,1503,84.1,0,263,2313,1910,3028,0,819,0,1052,476,2509,936,9437,103,1960,0,1309,83,435,807,387.1,36,50,193,29693.58
0.29,1712,116.3,0,445,3463,1897,3028,0,1116,0,1502,1097,2959,996,8520,1184,2313,0,1516,114,432,923,599.5,46,110,402,34490.38
0.33,2472,100.4,0,553,4597,1934,3028,306,1059,0,2004,1558,3569,1046,7486,2045,2450,0,1874,133,481,897,810.3,86,194,352,39035.76
0.38,2239,131,0,430,5343,1861,3028,798,1166,106,2245,2020,3853,1056,6495,2699,2434,0,1915,176,487,526,963.3,93,280,451,40795.83
0.42,1158,182.3,0,416,5629,2330,3028,1439,1469,159,2581,2471,4305,1096,5967,3202,2622,0,1853,185,588,386,1123.2,120,246,574,43128.60
0.46,796,178,0,445,5982,2900,3028,2147,1574,373,2881,3170,4855,1126,5753,3861,2863,0,1693,221,737,262,1290.2,143,304,698,47278.75
0.5,667,133.1,0,484,5765,3055,3028,2400,1022,753,3074,3355,5065,1016,6159,4215,3010,205,1889,229,593,237,1189.9,105,346,582,48576.97
0.54,646,67.3,28,427,3965,2926,3028,1395,650,911,2567,2512,4538,926,6771,2950,2662,1027,2210,188,448,242,831.6,57,251,370,42595.54
0.58,677,57.6,145,286,2688,2618,3028,589,472,1113,2061,2065,3966,886,7434,1873,2360,1584,589,117,302,247,681.8,43,117,308,36309.43
0.63,698,62.3,87,236,2628,2507,3028,293,633,1477,1862,1935,3704,906,8707,1208,2160,1982,0,77,204,270,566.9,53,74,293,35650.96
0.67,728,104.1,59,330,2956,2511,3028,244,784,1736,1811,1893,3555,966,9235,1055,2310,2633,111,76,207,316,567,58,81,360,37713.56
0.71,849,143.8,19,555,3226,2515,3028,343,1118,1785,1816,2002,3651,996,9670,1362,2513,3376,0,87,261,305,638.6,53,166,381,40859.98
0.75,1299,173.6,129,811,4094,2621,3028,643,1532,1250,1919,2092,3811,1036,10222,2033,2619,3773,0,78,211,472,821.3,73,232,351,45323.49
0.79,1649,195.7,331,951,4965,2673,3028,1100,1651,1033,2089,2418,3969,1086,10790,2656,2887,2726,0,99,213,746,1009,84,252,447,49045.98
0.83,1770,180,368,1150,5030,2732,3028,1968,1300,980,2331,2953,4447,1036,11188,3437,3062,1816,1191,131,212,1077,1113.5,80,284,609,53473.57
0.88,2060,77.1,421,1061,4030,2703,3028,2274,722,874,2428,2888,4681,936,10440,2886,2723,1308,111,139,211,1359,900,56,236,539,49089.39
0.92,2649,56.6,200,670,2268,2569,3028,961,545,980,1637,1877,3737,906,9936,674,2169,1355,0,87,305,1627,519.9,21,90,257,39125.31
0.96,3147,46.1,0,518,1675,2199,3028,102,382,1304,892,1178,3004,886,9482,0,1762,1811,0,62,542,1625,329.1,5,40,152,34170.98
0,2832,41.2,0,402,1511,1930,3028,0,286,1268,696,838,2691,876,9489,0,1609,2273,0,51,677,1187,253.9,0,10,117,32066.86
0.04,1594,36,0,341,1403,1824,3028,0,282,1390,600,553,2480,876,9842,0,1456,2940,0,51,871,806,243.4,5,30,107,30759.35
0.08,1005,36.2,0,327,1297,1880,3028,0,309,1189,602,413,2316,866,10168,0,1457,3253,0,61,1016,664,216.9,5,30,107,30246.86
0.13,972,41.3,0,322,1515,1825,3028,0,330,593,604,210,2373,876,10377,0,1456,2456,0,56,968,566,245.1,5,35,102,28955.41
0.17,1333,51.4,0,343,1787,1878,3028,0,324,375,556,58,2321,866,10907,0,1559,877,0,72,822,541,261,11,45,123,28137.80
0.21,1599,61.5,0,344,1465,1883,3028,0,354,215,656,58,2316,876,10586,0,1611,258,0,72,581,638,311.5,11,55,128,27105.29
0.25,1526,75.4,0,385,1840,1822,3028,0,465,216,754,120,2360,926,9294,0,1814,0,56,83,485,659,387.3,27,65,178,26565.46
0.29,1760,106.7,0,511,2320,1868,3028,52,637,108,1152,469,2550,1006,8112,103,2011,0,385,98,437,764,577.8,37,94,272,28459.43
0.33,2610,161.8,4,686,3327,1907,3028,615,915,0,1653,1151,3103,1036,7025,818,2355,0,0,133,438,882,837.9,103,193,398,33379.14
0.38,2217,226.4,106,927,4733,2034,3028,1717,1197,109,2247,2170,3962,1066,5921,1937,2592,0,1021,131,491,580,1189.5,126,300,556,40584.78
0.42,1118,271.8,389,1212,5681,2702,3028,3070,1605,164,2850,3224,4765,1106,5337,3308,2980,0,1269,154,493,343,1576.4,119,332,741,47837.81
0.46,769,291.5,611,1425,6159,3117,3028,4226,1853,382,3500,4237,5822,1136,5123,4633,3427,0,1316,168,641,305,1911.6,158,400,872,55509.48
0.5,672,208.3,748,1400,5840,3171,3028,4276,1426,715,3897,4535,6341,1046,5276,5460,3738,52,1576,177,597,237,1818,136,457,680,57505.85
0.54,651,101.5,697,1165,3874,3094,3028,2559,923,977,3293,3457,5330,966,5725,3985,3133,982,1892,137,402,242,1300.1,96,388,458,48854.40
0.58,681,72.1,484,807,2379,2684,3028,938,685,1293,2133,2134,3779,896,6184,1219,2426,1689,2265,102,253,228,836.9,92,241,324,37851.66
0.63,687,72.1,251,589,2056,2203,3028,194,719,1503,1515,1569,3201,876,7090,100,2270,2025,2753,83,256,265,596.1,24,123,327,34375.83
0.67,718,100.3,158,511,2108,2200,3028,95,823,1766,1362,1375,3042,966,8271,0,2270,2624,2680,88,210,305,537.8,24,67,357,35686.35
0.71,874,111.7,132,635,2698,2205,3028,144,1135,1865,1418,1530,3087,1006,9180,48,2422,3224,2162,104,216,309,578.6,29,81,354,38574.56
0.75,1461,140.3,189,750,3141,2211,3028,195,1591,1381,1578,1519,3099,1026,10283,148,2378,3675,1797,121,223,467,622.8,34,125,376,41557.49
0.79,1771,191,300,809,3912,2209,3028,447,1715,886,1701,1674,3159,1086,11708,911,2442,2576,1326,143,229,661,690,59,181,429,44241.68
0.83,1631,204.7,411,952,4403,2266,3028,1263,1400,615,1741,2091,3474,1096,12570,1795,2918,1716,1008,154,232,928,819.7,70,263,629,47678.00
0.88,1920,113.3,503,1051,4255,2276,3028,2127,783,614,2037,2373,3904,986,11678,2168,2830,1155,904,139,232,1127,828.4,41,245,450,47767.60
0.92,2538,67.3,398,728,2656,2247,3028,1062,559,877,1551,1626,3317,906,10221,416,2279,1305,849,92,224,1265,504,5,95,232,39046.72
0.96,2986,56.9,233,515,1739,2097,3028,153,449,938,949,1025,2581,876,9295,0,1920,1865,1004,66,301,1315,321.9,0,20,137,33871.18
0,2586,41.5,205,450,1577,1937,3028,0,430,999,699,552,2318,876,8920,0,1715,2327,1215,56,584,988,258.7,5,15,127,31911.37
0.04,1413,36.2,184,369,1467,1883,3028,0,427,1121,652,198,2161,866,9160,0,1561,2742,1527,50,629,768,237.6,5,10,122,30616.85
0.08,904,36.3,180,349,1409,1828,3028,0,412,1026,703,120,2164,866,9325,0,1561,3061,1827,70,822,623,248.9,0,20,117,30699.76
0.13,920,46.5,170,344,1140,1888,3028,0,437,540,704,52,2165,876,9533,0,1562,2411,1706,66,822,583,233.1,5,30,128,29390.91
0.17,1299,56.8,170,369,1248,1886,3028,0,467,269,757,0,2108,876,9943,0,1715,879,1633,71,630,663,271.9,10,51,138,28540.44
0.21,1710,61.9,164,364,1410,1829,3028,0,589,108,808,0,2047,866,10029,0,1765,156,1673,77,535,715,298.7,11,56,153,28453.24
0.25,1661,71,165,406,1513,1878,3028,0,805,0,1011,115,2140,926,9048,0,1970,0,1870,87,440,766,369.7,32,71,238,28608.94
0.29,1974,83.5,159,511,2045,1814,3028,205,1034,0,1365,617,2486,996,8122,311,2219,0,2126,108,442,950,476.6,31,86,320,31509.89
0.33,2693,138.5,164,683,3363,1954,3028,604,1237,0,1868,1376,2934,1046,6859,1123,2405,0,1831,128,542,936,724.6,46,199,420,36301.52
0.38,2261,161.4,271,893,4676,1980,3028,1245,1372,0,2213,2085,3643,1076,6019,2087,2442,0,1680,131,592,569,932.8,90,295,543,40284.61
0.42,1206,189.8,548,1051,5467,2491,3028,1899,1644,55,2504,2677,4144,1126,5541,2541,2529,0,1533,125,642,372,1115.1,93,276,649,43445.01
0.46,796,194.2,695,1208,5887,2851,3028,2405,1684,272,2788,3297,4697,1146,5369,3044,2718,0,1525,119,789,266,1374.8,111,306,653,47222.12
0.5,671,149.3,714,1240,5514,3010,3028,2605,1266,549,3031,3588,5148,1066,5550,3653,2913,0,1629,168,594,249,1422.7,115,392,427,48693.44
0.54,633,77.8,675,1006,3605,2881,3028,1588,963,872,2733,2876,4786,976,6011,2898,2565,312,1839,124,398,249,1029.5,86,305,341,42857.47
0.58,682,63.2,521,771,2324,2627,3028,685,887,1078,1973,2189,3868,956,6605,1416,2212,1387,2111,104,300,250,808.5,82,174,278,37379.97
0.63,707,58.7,441,611,2052,2359,3028,396,971,1337,1780,2042,3628,946,7550,447,2072,2393,2555,73,252,297,635.1,53,103,329,37116.65
0.67,747,101.7,383,637,2213,2255,3028,347,1130,1595,1582,1935,3481,976,8357,555,2240,3385,2472,82,254,351,615.5,34,89,394,39238.71
0.71,927,150.2,300,728,2655,2266,3028,498,1470,1697,1737,2059,3520,1016,9219,1220,2437,4481,2066,83,263,336,743.8,59,118,374,43450.06
0.75,1461,200,195,886,3416,2372,3028,1013,2046,1210,1946,2231,3676,1036,9769,1838,2646,5292,1761,98,214,565,823.6,70,191,465,48447.29
0.79,1735,230.8,89,1057,4542,2417,3028,1722,1863,718,2209,2523,3929,1086,10430,2866,2955,4042,1395,113,216,750,971.9,90,258,692,51928.98
0.83,1582,185.6,0,1223,4764,2472,3028,2989,1241,656,2409,2889,4393,1076,10989,3690,3113,2230,1023,147,216,917,1018.9,81,315,689,53336.28
0.88,1866,122.1,0,1093,3332,2442,3028,3199,950,607,2357,2562,4328,986,10501,2681,2671,1262,810,124,262,1029,779.5,46,309,336,47680.81
0.92,2429,81.7,0,727,2209,2405,3028,1877,791,718,1610,1765,3303,896,9648,773,2058,1056,811,83,450,1199,446.7,20,115,215,38713.74
0.96,2889,51.2,0,538,1721,2301,3028,763,622,884,1155,1144,2723,886,9185,0,1703,1412,970,62,494,1175,315.4,5,30,149,34205.71
0,2376,46,0,444,1507,2143,3028,256,595,1433,1010,597,2410,876,9226,0,1345,1570,1185,51,585,830,255.9,0,30,134,31932.37
0.04,1263,40.9,0,364,1561,1872,3028,154,601,1398,960,290,2198,876,9521,0,1393,1882,1342,51,632,611,229.1,5,25,123,30420.70
0.08,866,45.9,0,368,1616,1871,3028,103,617,975,907,145,2142,866,9881,0,1494,2405,1596,56,730,460,234,0,25,123,30553.14
0.13,794,45.8,0,353,1725,1872,3028,103,686,323,957,108,2140,876,10538,0,1594,2211,1577,61,731,499,223.9,0,55,144,30646.97
0.17,1268,60.6,0,378,1775,1870,3028,51,702,53,1004,124,2083,866,11049,0,1393,726,1770,67,585,549,245.1,10,60,149,29863.39
0.21,1753,70.6,0,388,1938,1867,3028,103,854,0,1104,160,2135,876,10275,0,1749,156,2126,72,441,622,310.4,15,70,219,30331.37
0.25,1850,94.1,0,445,2154,1865,3028,207,1217,0,1309,303,2179,946,9214,51,2055,0,2614,77,391,711,364.4,36,70,421,31602.58
0.29,2073,127.1,0,605,3218,1904,3028,716,1490,0,1615,902,2634,1006,8339,870,2204,0,3036,103,391,859,556.8,41,124,369,36210.01
0.33,2526,116.6,0,807,4469,2044,3028,1578,1591,0,2073,1473,3197,1056,7411,1842,2447,0,2675,128,441,851,717.4,75,252,425,41222.14
0.38,2071,139.8,0,916,5145,2129,3028,2181,1699,0,2216,1937,3605,1066,6297,2238,2689,0,1898,121,493,507,853.7,89,280,568,42167.05
