,OUARGLA,Figuier,Foues,Boumerdes,BIR SLAM,BEJAIA,MEDEA 1,MEDEA 2,BOUIRA 1,BOUIRA 2,BLIDA 1,BLIDA 2,BLIDA 3,BLIDA 4,"B,Ezzouar",Beaulieu,Baraki,Benzerga,Ain Taya,Nador,Tipaza,Cherchell,Hadjout,Sidi Ammar Tipaza,Taref,Naama,Total
0.83,8535,1017.4,224,3085,10263,5468,10638,14038,7989,1843,7481,8427,10436,3210,17507,13533,7165,13371,3595,369,2201,2862,3643.4,226,1149,2009,160284.27
0.88,7969,1010.4,231,2837,9506,5503,11150,13170,6745,3634,6852,8106,9899,2942,16093,12613,6756,12495,3639,474,1952,2546,3236.2,217,1028,2078,152680.72
0.92,7400,1013.9,225,2514,8307,5491,11492,12018,5700,3634,6134,7693,8917,2366,14615,11527,6356,11295,4012,435,1605,2294,2756.1,211,858,2505,141374.59
0.96,7399,1007.1,232,2135,6689,5296,11896,10939,5283,3634,5185,7438,7856,2040,13008,10661,5942,9901,4799,397,1458,1960,2386,201,684,2701,131127.02
0,6923,1013.8,226,1855,5636,5090,11923,9901,5108,3634,4257,7438,6789,1817,11601,9791,5577,9025,5707,351,1262,1642,2123.3,198,612,2440,121939.59
0.04,5693,1010.2,232,1683,4976,4995,11708,9521,4977,3634,3807,7451,5767,1690,10725,9376,5363,8549,5272,304,1214,1508,2013.3,195,588,2231,114481.67
0.08,4945,1001.9,239,1645,4809,5058,11366,9384,4894,3634,3525,7373,5275,1571,10414,9277,5306,8394,4966,261,1215,1504,1973.6,196,566,2054,110847.31
0.13,5020,1004.8,233,1633,4802,4882,11190,9333,4856,3634,3405,7331,5056,1595,10303,9271,5301,8337,4491,263,1168,1476,1971.8,193,576,1911,109237.96
0.17,5544,996.9,239,1646,4971,4936,11181,9307,4829,3634,3509,7386,4950,1668,10401,9321,5357,8434,4121,256,1220,1456,1970.4,195,580,1868,109977.35
0.21,6090,1000.6,234,1701,5131,4927,11647,9445,5260,3634,3552,7455,4999,1724,10644,9523,5402,8692,3752,256,1271,1554,2041.9,200,595,1848,112578.76
0.25,7921,1000,239,1872,5521,4920,12222,9837,6212,3634,3866,7435,5220,2200,11335,10088,5757,9422,3700,282,1519,1565,2256,203,698,1835,120759.48
0.29,9100,1002.9,238,2239,6802,4949,12505,11063,7707,3634,4604,7373,5643,2826,13071,11329,6312,10814,3539,276,1870,1773,2629,212,959,1874,134343.54
0.33,8170,986.5,226,2664,8403,5136,12551,12748,7881,3634,5733,7372,6870,2776,14680,12320,6430,11625,3535,275,1868,2061,3168,215,1093,1873,144293.24
0.38,6998,979.7,217,2708,9057,5223,12414,12582,8256,3634,6047,7386,8106,2943,15021,12507,6577,11729,3527,335,1808,2013,3149,218,1013,1918,146364.72
0.42,5363,984.8,198,2647,9466,5361,12085,12368,8185,3634,5999,7434,8346,2812,15486,12778,6671,11813,3519,369,1895,1696,3166.9,209,952,2141,145576.66
0.46,3880,978.7,183,2513,9489,5459,11807,11869,7904,3634,5900,7445,8540,2853,15457,12764,6494,11728,3777,295,1737,1453,3207.9,203,1002,2566,143139.70
0.5,3151,971.4,177,2379,8723,5494,11711,11554,7097,3634,5889,7490,8664,2512,15147,12382,6374,11361,4243,246,1589,1966,3072.2,215,968,2524,139533.13
0.54,2890,982.9,177,1982,6795,5263,11638,10549,6648,3634,4943,7270,8570,2311,13771,11340,5915,10144,4521,326,1486,1633,2613.8,203,840,2542,128987.85
0.58,2822,981.2,182,1715,5629,5155,11558,9863,6269,3634,4518,7160,7092,2308,12531,10405,5596,9211,4453,288,1390,1351,2398.2,197,789,2489,119983.76
0.63,2819,993.3,193,1548,5195,4938,11400,9316,6267,3634,4313,7136,6391,2399,11986,10099,5440,8689,4438,231,1440,989,2182,189,835,2410,115469.21
0.67,2878,999.3,206,1640,5536,4932,11452,9284,6880,1963,4310,7020,5962,2432,12282,10307,5604,9318,4422,174,1598,921,2272.2,189,982,2094,115657.89
0.71,3152,1016.2,214,1958,6665,4928,11438,9682,8149,2418,4632,7041,6226,3037,13079,10888,6027,10376,4329,160,1951,977,2624.7,192,1144,1972,124276.07
0.75,4586,1018.9,215,2504,8720,5165,11365,10655,9326,3634,5524,7746,6980,3504,14977,12324,6754,12095,3971,168,2349,1521,2994,202,1319,1868,141484.93
0.79,8188,1017.2,222,3129,10692,5554,11579,12356,8869,2362,7018,8464,8593,3487,17841,13982,7348,13617,3654,219,2350,1993,3550.6,209,1202,1887,159384.15
0.83,8510,1016.7,219,3095,10321,5634,3625,12680,7994,2327,7181,8333,10216,3100,17403,13654,6965,13211,3492,280,2105,2267,3764.5,210,1090,1939,150631.22
0.88,8042,1007.2,219,2855,9675,5666,0,11625,6917,2430,6435,8024,9714,2818,15993,12752,6670,12402,3698,365,1950,2069,3315.7,208,996,2143,137987.78
0.92,7676,1007.1,221,2544,8313,5615,0,10715,6073,1229,5709,7649,8729,2351,14619,11832,6313,11347,4023,355,1657,1830,2921.8,201,843,2690,126463.29
0.96,7499,1002.8,226,2146,6813,5480,4668,9843,5548,3634,4865,7380,7719,1870,13174,10902,5792,10117,4823,314,1361,1706,2565.4,200,689,2604,122941.60
